,Weighting,InheritedValue,HI,AR,GK,AL,TB,VE,AV,OC,LI,OE,OI,LA,LU,LY,TA,PE,PR,LT,GO,ON,OG,WE,OS,UM
158.1stand1,1,-1,1,2,3,4,5,3,3,3,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3
158.2stand2,1,-1,1,2,3,4,5,3,3,3,6,7,3,8,3,3,5,3,3,6,7,7,7,3,8,8
159.1star1,1,-1,1,1,1,2,1,1,1,3,3,1,4,1,5,6,1,7,8,3,1,1,1,1,9,10
159.2star2,1,-1,1,1,1,2,11,1,1,3,3,12,4,1,5,6,11,7,8,3,12,12,12,1,9,10
160stick,1,-1,1,2,3,4,5,6,7,8,9,10,11,3,12,13,14,15,9,16,17,18,19,20,21,22
161stone,1,-1,1,2,3,4,5,6,6,6,6,7,8,9,10,11,12,6,13,6,7,7,7,14,15,9
162straight,1,-1,1,2,3,4,5,6,6,7,8,17,6,17,9,10,11,12,13,8,17,17,17,14,15,16
163.2suck2,1,-1,1,2,2,3,4,2,5,15,6,16,2,16,7,8,9,10,11,6,12,16,16,2,13,14
164.1sun1,1,-1,1,2,3,4,5,3,3,3,3,3,6,3,11,7,5,8,3,3,3,3,3,3,9,10
165swell,1,-1,1,2,2,3,4,5,5,6,7,8,9,10,11,12,13,14,15,16,17,8,8,18,19,20
167tail,1,-1,1,2,3,4,5,6,7,8,9,10,23,11,12,13,14,15,16,17,18,19,10,20,21,22
169there,1,-1,2,3,5,6,6,6,8,6,6,6,9,7,11,12,6,13,6,6,6,6,6,15,7,7
171thick,1,-1,1,2,3,4,5,3,6,7,8,9,9,10,11,12,13,14,15,16,17,9,9,9,18,19
172thin,1,-1,1,2,3,4,5,6,7,6,8,6,6,6,9,10,11,12,13,6,14,6,6,6,15,16
175thou,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,2,1,6
176three,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
177throw,1,-1,1,2,3,4,5,1,1,6,6,7,8,9,10,11,12,1,6,6,7,7,7,13,14,15
179.1tongue1,1,-1,1,2,3,4,2,2,2,2,2,2,2,2,1,5,2,2,2,6,2,2,2,2,2,7
179.2tongue2,1,-1,1,2,3,4,8,9,9,10,11,12,13,2,1,5,8,9,10,6,12,12,12,13,14,7
179.3tongue3,1,-1,1,2,3,4,8,9,15,10,11,12,13,2,1,5,8,15,10,6,12,12,12,13,14,7
181.1tree1,1,-1,1,2,1,1,3,4,5,1,6,1,7,8,9,10,3,11,12,13,14,1,17,7,15,16
181.2tree2,1,-1,1,2,1,1,3,4,5,1,6,18,7,8,9,10,3,11,12,13,14,18,17,7,15,16
182turn,1,-1,1,2,3,4,5,6,7,8,6,9,10,6,11,12,5,6,6,6,9,13,9,14,15,6
183two,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,1
184vomit,1,-1,1,2,3,4,5,3,3,6,3,7,8,3,9,10,11,12,3,3,13,7,7,8,14,15
189aus,1,-1,2,2,2,2,1,2,2,2,3,2,2,2,2,5,1,6,3,3,2,2,2,2,8,10
191what,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
192.1when1,1,-1,1,8,9,10,2,11,11,12,11,13,14,15,16,3,2,4,11,11,13,13,13,17,5,6
195who,1,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
197wife,1,-1,1,1,1,2,1,1,3,1,4,1,1,5,6,7,1,8,1,9,1,1,1,10,11,12
198.1wind1,1,-1,1,2,2,3,1,1,1,1,1,1,4,1,5,6,1,7,1,1,1,1,1,1,8,9
198.2wind2,1,-1,1,2,2,3,10,11,11,12,13,10,4,10,5,6,10,7,12,13,10,10,10,10,8,9
199.1wing1,1,-1,1,3,1,4,5,1,1,6,1,2,17,7,8,9,10,11,12,1,13,14,2,18,15,16
199.2wing2,1,-1,1,3,19,4,5,20,20,6,21,2,17,7,8,9,10,11,12,21,13,14,2,18,15,16
200wipe,1,-1,1,2,3,4,5,6,7,8,9,10,11,12,1,13,5,14,15,16,17,18,17,19,20,21
202woman,1,-1,1,1,1,2,3,1,1,1,4,5,1,6,1,7,3,8,1,9,1,1,5,1,10,11
205ayou,1,-1,1,3,1,4,5,1,1,1,2,1,1,1,1,7,5,9,1,2,1,1,1,1,10,12
207.1yellow1,1,-1,1,2,3,4,5,6,6,6,6,6,7,8,1,9,10,11,6,6,12,6,6,13,14,15
207.2yellow2,1,-1,1,2,3,4,5,16,16,6,17,18,7,8,1,9,10,11,17,17,12,6,18,13,14,15
301arm,1,-1,1,2,3,4,5,5,5,6,7,8,9,10,11,12,5,13,8,7,8,8,8,14,15,16
304autumn,1,-1,1,2,3,4,5,6,7,3,8,9,10,11,12,13,14,15,3,8,3,16,9,17,18,19
305be_awake,1,-1,1,2,3,4,5,3,3,6,6,7,8,17,9,10,11,12,6,13,7,7,7,14,15,16
307axle,1,-1,1,2,3,4,5,3,6,3,3,3,7,3,8,9,10,11,3,3,12,3,3,3,13,14
309bear,1,-1,1,1,1,1,2,1,1,3,4,5,6,1,7,8,9,10,4,4,11,5,5,1,12,13
310beard,1,-1,1,1,2,1,3,1,4,5,5,5,6,5,7,8,9,10,5,5,11,12,5,13,14,15
311bee2,1,-1,1,2,16,17,3,4,5,6,18,6,6,7,8,9,10,11,18,18,12,6,6,13,14,15
312be_born,1,-1,1,2,2,3,4,2,2,5,6,7,2,2,8,9,4,10,6,6,7,7,7,2,2,11
313.1bow1,1,-1,1,2,3,4,5,6,6,7,7,8,9,10,11,12,13,6,14,7,15,8,8,16,17,18
313.2bow2,1,-1,1,2,3,4,5,6,19,7,7,8,9,10,11,12,13,19,14,7,15,8,8,16,17,18
315.1break1,1,-1,1,2,3,4,5,2,6,7,8,9,2,9,10,11,5,12,7,8,9,13,9,14,15,16
315.2break2,1,-1,1,2,3,4,5,2,6,7,8,9,2,17,10,11,5,12,7,8,9,13,9,14,15,16
316bronze,1,-1,1,2,3,4,5,6,7,8,9,7,10,7,11,12,13,14,15,16,7,7,7,10,7,7
317.1brother1,1,-1,1,2,3,4,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2
317.2brother2,1,-1,1,2,3,4,2,2,2,2,5,2,2,2,1,1,2,2,2,5,2,2,2,2,2,2
318brother-in-law,1,-1,1,2,2,3,4,2,5,2,6,2,7,2,8,9,10,11,12,6,13,14,15,16,17,18
320buy,1,-1,1,16,17,2,3,3,4,5,6,7,3,8,9,10,11,12,13,6,7,14,15,3,8,8
321.1carry1,1,-1,1,2,2,3,2,2,2,4,4,2,2,2,1,5,2,2,6,4,2,2,7,8,2,2
321.2carry2,1,-1,1,2,2,3,2,2,2,9,4,2,2,2,1,5,2,2,6,4,2,2,7,8,2,2
324comb,1,-1,1,2,3,4,5,6,7,8,9,10,20,3,11,12,13,14,15,16,17,10,10,18,19,3
325cook,1,-1,1,2,3,4,3,3,3,5,6,7,8,3,9,10,3,11,12,13,14,15,16,17,18,19
327darkness,1,-1,1,2,3,4,5,6,6,6,6,7,16,6,8,9,5,10,11,6,12,13,17,16,14,15
328daughter,1,-1,1,2,2,3,2,2,2,2,2,2,4,5,2,2,2,6,2,7,2,2,2,8,2,9
329daughter-in-law,1,-1,1,2,2,2,3,2,4,2,5,2,6,2,7,8,9,10,5,11,12,2,2,13,14,15
331drive,1,-1,1,2,4,5,7,3,3,9,9,10,3,3,13,14,16,17,9,9,10,18,10,19,21,3
333eight,1,-1,1,2,2,2,2,2,2,2,2,2,2,2,3,2,2,4,2,2,2,2,2,2,5,6
334.1elbow1,1,-1,1,2,3,4,5,6,6,7,7,8,8,9,10,11,12,13,7,7,14,8,8,8,15,16
334.2elbow2,1,-1,1,2,3,4,5,6,6,7,7,17,8,9,10,11,12,13,7,7,14,17,17,18,15,16
335eyebrow,1,-1,1,2,3,4,3,3,3,3,5,3,3,6,7,8,3,9,3,10,11,3,3,12,13,14
336father-in-law,1,-1,1,2,3,4,5,4,4,4,6,4,7,4,8,9,10,11,12,13,4,14,4,15,16,17
338finger,1,-1,1,2,3,4,5,6,7,8,8,9,10,11,12,13,5,14,8,8,9,9,9,15,16,17
339fly,1,-1,1,2,2,2,3,4,4,2,2,5,6,2,7,8,9,10,2,2,11,5,5,6,12,13
340follow,1,-1,1,2,3,4,5,3,3,6,3,7,3,3,8,9,3,10,11,3,12,7,7,13,14,15
341free,1,-1,1,2,3,4,5,6,7,8,9,10,11,3,12,1,13,14,15,16,10,10,10,10,3,17
